no,sexe,profession,annee_etude,naissance,age,VAK1,VAK2,VAK3,VAK4,VAK5,VAK6,VAK7,VAK8,VAK9,VAK10,VAK11,VAK12,VAK13,VAK14,VAK15,nb auditif (1),nb visuel (2),nb kinesthesique (3)
137,M,1,NR,1986,21,B,A,B,A,C,A,C,A,B,A,C,B,A,B,C,,,
,,,,,,2,1,1,1,1,1,2,1,2,2,3,1,2,2,1,8,6,1
138,F,1,3,1987,20,B,B,A,C,A,A,A,NR,A,B,B,A,A,C,A,,,
,,,,,,2,3,2,3,2,1,1,FAUX,1,1,2,3,2,3,2,4,6,4
139,F,4,4,1985,22,B,A,B,A,A,C,B,A,B,B,B,B,A,B,A,,,
,,,,,,2,1,1,1,2,3,3,1,2,1,2,1,2,2,2,6,7,2
140,F,1,2,1988,19,B,C,B,B,A,C,A,A,A,A,C,B,A,A,A,,,
,,,,,,2,2,1,2,2,3,1,1,1,2,3,1,2,1,2,6,7,2
141,M,2,3,1984,23,B,C,B,B,C,A,B,A,B,B,C,B,C,B,B,,,
,,,,,,2,2,1,2,1,1,3,1,2,1,3,1,3,2,3,6,5,4
142,F,2,3,1986,21,C,B,A,B,C,C,A,A,C,B,A,C,A,C,A,,,
,,,,,,3,3,2,2,1,3,1,1,3,1,1,2,2,3,2,5,5,5
143,F,2,3,1984,23,B,B,A,B,C,A,B,C,C,A,B,B,B,B,A,,,
,,,,,,2,3,2,2,1,1,3,2,3,2,2,1,1,2,2,4,8,3
144,F,2,NR,1987,20,B,B,A,B,B,C,B,A,C,A,C,B,B,B,A,,,
,,,,,,2,3,2,2,3,3,3,1,3,2,3,1,1,2,2,3,6,6
145,M,1,3,1986,21,B,C,A,B,B,NR,C,A,B,A,C,A,A,B,A,,,
,,,,,,2,2,2,2,3,FAUX,2,1,2,2,3,3,2,2,2,1,10,3
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,#REF!,,,,,,,,,,
,,,,,,,,,,,,,#REF!,,,,,,,,,,
,,,,,,,,,,,,,#REF!,,,,,,,,,,
,,,,,,,,,,,,,#REF!,,,,,,,,,,
,,,,,,,,,,,,,#REF!,,,,,,,,,,
,,,,,,,,,,,,,#REF!,,,,,,,,,,
,,,,,,,,,,,,,#REF!,,,,,,,,,,
