no,sexe,profession,annee_etude,naissance,age,VAK1,VAK2,VAK3,VAK4,VAK5,VAK6,VAK7,VAK8,VAK9,VAK10,VAK11,VAK12,VAK13,VAK14,VAK15,nb auditif (1),nb visuel (2),nb kinesthesique (3)
52,F,1,2,1987,20,A,B,C,B,C,C,C,A,A,B,A,C,A,A,A,,,
,,,,,,1,3,3,2,1,3,2,1,1,1,1,2,2,1,2,7,5,3
53,F,2,3,1986,21,B,A,B,B,B,C,B,B,B,B,A,A,B,B,NR,,,
,,,,,,2,1,1,2,3,3,3,3,2,1,1,3,1,2,FAUX,5,4,5
54,F,1,2,1987,20,B,B,A,A,C,C,C,A,A,C,C,C,C,B,A,,,
,,,,,,2,3,2,1,1,3,2,1,1,3,3,2,3,2,2,4,6,5
55,M,2,2,1988,19,C,C,B,C,B,C,B,A,C,A,C,NR,B,B,B,,,
,,,,,,3,2,1,3,3,3,3,1,3,2,3,FAUX,1,2,3,3,3,8
56,F,2,3,1982,25,B,C,B,A,B,C,B,A,B,A,C,C,C,C,C,,,
,,,,,,2,2,1,1,3,3,3,1,2,2,3,2,3,3,1,4,5,6
57,M,5,3,1986,21,B,C,A,C,B,B,B,A,B,B,C,C,C,B,A,,,
,,,,,,2,2,2,3,3,2,3,1,2,1,3,2,3,2,2,2,8,5
58,F,2,NR,1986,21,B,C,B,A,A,C,A,A,B,B,B,B,C,B,B,,,
,,,,,,2,2,1,1,2,3,1,1,2,1,2,1,3,2,3,6,6,3
59,F,1,NR,1988,19,A,A,C,A,C,B,C,A,A,B,A,A,B,B,C,,,
,,,,,,1,1,3,1,1,2,2,1,1,1,1,3,1,2,1,10,3,2
60,F,2,3,NR,NR,,,,,,,,,,,,,,,,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
61,M,1,2,1989,18,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
62,F,2,NR,1982,25,B,B,B,A,B,B,B,A,A,B,C,B,A,B,B,,,
,,,,,,2,3,1,1,3,2,3,1,1,1,3,1,2,2,3,6,4,5
63,F,2,3,1985,22,B,A,B,A,C,A,B,B,B,B,C,B,B,A,A,,,
,,,,,,2,1,1,1,1,1,3,3,2,1,3,1,1,1,2,9,3,3
64,M,4,4,1984,23,A,A,B,A,C,C,B,A,A,C,C,C,A,B,B,,,
,,,,,,1,1,1,1,1,3,3,1,1,3,3,2,2,2,3,7,3,5
65,M,1,2,1989,18,B,B,B,A,C,C,A,A,B,A,B,A,B,A,C,,,
,,,,,,2,3,1,1,1,3,1,1,2,2,2,3,1,1,1,8,4,3
66,F,1,2,1987,20,B,A,B,B,C,C,B,A,B,B,A,B,A,B,A,,,
,,,,,,2,1,1,2,1,3,3,1,2,1,1,1,2,2,2,7,6,2
67,F,1,2,1987,20,,,,,,,,,,,,,,,,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
68,M,2,2,1987,20,,,,,,,,,,,,,,,,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
69,F,1,2,1988,19,B,A,C,A,B,A,C,B,A,A,C,C,B,B,A,,,
,,,,,,2,1,3,1,3,1,2,3,1,2,3,2,1,2,2,5,6,4
70,F,2,3,1987,20,B,B,B,B,B,C,C,A,A,A,C,B,A,C,B,,,
,,,,,,2,3,1,2,3,3,2,1,1,2,3,1,2,3,3,4,5,6
71,F,1,3,1987,20,B,C,A,B,C,A,B,A,B,B,C,A,C,B,C,,,
,,,,,,2,2,2,2,1,1,3,1,2,1,3,3,3,2,1,5,6,4
72,F,1,2,1989,18,,,,,,,,,,,,,,,,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
73,M,1,2,1989,18,,,,,,,,,,,,,,,,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
74,M,1,2,1988,19,A,C,B,B,B,B,C,B,B,A,A,B,B,B,A,,,
,,,,,,1,2,1,2,3,2,2,3,2,2,1,1,1,2,2,5,8,2
75,M,1,2,1988,19,B,C,A,B,C,B,A,A,A,A,A,B,A,C,C,,,
